"도시별","지출목적별","시점","소비자물가지수[기준년도 2020년]",
"전국","0 총지수","1975 년","9.473",
"전국","0 총지수","1976 년","10.925",
"전국","0 총지수","1977 년","12.029",
"전국","0 총지수","1978 년","13.768",
"전국","0 총지수","1979 년","16.29",
"전국","0 총지수","1980 년","20.965",
"전국","0 총지수","1981 년","25.442",
"전국","0 총지수","1982 년","27.271",
"전국","0 총지수","1983 년","28.204",
"전국","0 총지수","1984 년","28.845",
"전국","0 총지수","1985 년","29.555",
"전국","0 총지수","1986 년","30.368",
"전국","0 총지수","1987 년","31.293",
"전국","0 총지수","1988 년","33.53",
"전국","0 총지수","1989 년","35.441",
"전국","0 총지수","1990 년","38.48",
"전국","0 총지수","1991 년","42.071",
"전국","0 총지수","1992 년","44.685",
"전국","0 총지수","1993 년","46.831",
"전국","0 총지수","1994 년","49.765",
"전국","0 총지수","1995 년","51.995",
"전국","0 총지수","1996 년","54.555",
"전국","0 총지수","1997 년","56.977",
"전국","0 총지수","1998 년","61.258",
"전국","0 총지수","1999 년","61.756",
"전국","0 총지수","2000 년","63.151",
"전국","0 총지수","2001 년","65.719",
"전국","0 총지수","2002 년","67.534",
"전국","0 총지수","2003 년","69.908",
"전국","0 총지수","2004 년","72.418",
"전국","0 총지수","2005 년","74.413",
"전국","0 총지수","2006 년","76.081",
"전국","0 총지수","2007 년","78.01",
"전국","0 총지수","2008 년","81.656",
"전국","0 총지수","2009 년","83.906",
"전국","0 총지수","2010 년","86.373",
"전국","0 총지수","2011 년","89.85",
"전국","0 총지수","2012 년","91.815",
"전국","0 총지수","2013 년","93.01",
"전국","0 총지수","2014 년","94.196",
"전국","0 총지수","2015 년","94.861",
"전국","0 총지수","2016 년","95.783",
"전국","0 총지수","2017 년","97.645",
"전국","0 총지수","2018 년","99.086",
"전국","0 총지수","2019 년","99.466",
"전국","0 총지수","2020 년","100",
"전국","0 총지수","2021 년","102.5",
"전국","0 총지수","2022 년","107.72",
"전국","0 총지수","2023 년","111.59",
"전국","01 식료품 및 비주류음료","1985 년","20.757",
"전국","01 식료품 및 비주류음료","1986 년","21.211",
"전국","01 식료품 및 비주류음료","1987 년","21.866",
"전국","01 식료품 및 비주류음료","1988 년","24.174",
"전국","01 식료품 및 비주류음료","1989 년","25.661",
"전국","01 식료품 및 비주류음료","1990 년","28.189",
"전국","01 식료품 및 비주류음료","1991 년","31.287",
"전국","01 식료품 및 비주류음료","1992 년","32.936",
"전국","01 식료품 및 비주류음료","1993 년","33.932",
"전국","01 식료품 및 비주류음료","1994 년","37.392",
"전국","01 식료품 및 비주류음료","1995 년","38.524",
"전국","01 식료품 및 비주류음료","1996 년","39.686",
"전국","01 식료품 및 비주류음료","1997 년","41.266",
"전국","01 식료품 및 비주류음료","1998 년","45.433",
"전국","01 식료품 및 비주류음료","1999 년","47.497",
"전국","01 식료품 및 비주류음료","2000 년","47.894",
"전국","01 식료품 및 비주류음료","2001 년","50.336",
"전국","01 식료품 및 비주류음료","2002 년","52.759",
"전국","01 식료품 및 비주류음료","2003 년","55.212",
"전국","01 식료품 및 비주류음료","2004 년","59.67",
"전국","01 식료품 및 비주류음료","2005 년","61.523",
"전국","01 식료품 및 비주류음료","2006 년","61.846",
"전국","01 식료품 및 비주류음료","2007 년","63.394",
"전국","01 식료품 및 비주류음료","2008 년","66.532",
"전국","01 식료품 및 비주류음료","2009 년","71.573",
"전국","01 식료품 및 비주류음료","2010 년","76.162",
"전국","01 식료품 및 비주류음료","2011 년","82.363",
"전국","01 식료품 및 비주류음료","2012 년","85.626",
"전국","01 식료품 및 비주류음료","2013 년","86.36",
"전국","01 식료품 및 비주류음료","2014 년","86.612",
"전국","01 식료품 및 비주류음료","2015 년","88.041",
"전국","01 식료품 및 비주류음료","2016 년","90.073",
"전국","01 식료품 및 비주류음료","2017 년","93.134",
"전국","01 식료품 및 비주류음료","2018 년","95.717",
"전국","01 식료품 및 비주류음료","2019 년","95.762",
"전국","01 식료품 및 비주류음료","2020 년","100",
"전국","01 식료품 및 비주류음료","2021 년","105.89",
"전국","01 식료품 및 비주류음료","2022 년","112.15",
"전국","01 식료품 및 비주류음료","2023 년","118.29",
"전국","02 주류 및 담배","1985 년","22.291",
"전국","02 주류 및 담배","1986 년","22.862",
"전국","02 주류 및 담배","1987 년","23.172",
